#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2019 11 25 07 54 270  2.1  3.1    MM    MM    MM  MM 1018.9  11.2  13.2    MM   MM   MM    MM
2019 11 25 07 48 290  2.6  3.1    MM    MM    MM  MM 1018.9  11.2  13.2    MM   MM   MM    MM
2019 11 25 07 42 240  2.1  3.1    MM    MM    MM  MM 1018.7  11.1  13.2    MM   MM   MM    MM
2019 11 25 07 36 250  1.5  2.6    MM    MM    MM  MM 1018.7  11.1  13.2    MM   MM   MM    MM
2019 11 25 07 30 250  1.5  3.1    MM    MM    MM  MM 1018.9  11.2  13.2    MM   MM   MM    MM
2019 11 25 07 24 270  1.5  2.6    MM    MM    MM  MM 1018.9  11.1  13.2    MM   MM   MM    MM
2019 11 25 07 18 260  1.5  2.1    MM    MM    MM  MM 1018.8  11.1  13.2    MM   MM   MM    MM
2019 11 25 07 12 190  0.5  1.5    MM    MM    MM  MM 1018.8  11.1  13.2    MM   MM   MM    MM
2019 11 25 07 06 240  1.0  2.1    MM    MM    MM  MM 1018.8  11.2  13.2    MM   MM   MM    MM
2019 11 25 07 00 230  1.0  2.6    MM    MM    MM  MM 1018.9  11.2  13.2    MM   MM +0.0    MM
2019 11 25 06 54 270  1.0  3.1    MM    MM    MM  MM 1019.0  11.2  13.2    MM   MM   MM    MM
2019 11 25 06 48 250  1.5  2.6    MM    MM    MM  MM 1019.1  11.3  13.2    MM   MM   MM    MM
2019 11 25 06 42 260  1.5  2.6    MM    MM    MM  MM 1019.2  11.3  13.2    MM   MM   MM    MM
2019 11 25 06 36 240  1.0  2.6    MM    MM    MM  MM 1019.2  11.3  13.2    MM   MM   MM    MM
2019 11 25 06 30 200  1.5  2.6    MM    MM    MM  MM 1019.3  11.4  13.2    MM   MM   MM    MM
2019 11 25 06 24 220  0.5  2.6    MM    MM    MM  MM 1019.4  11.4  13.2    MM   MM   MM    MM
2019 11 25 06 18 240  2.1  3.1    MM    MM    MM  MM 1019.5  11.4  13.2    MM   MM   MM    MM
2019 11 25 06 12 240  1.5  3.1    MM    MM    MM  MM 1019.3  11.4  13.2    MM   MM   MM    MM
2019 11 25 06 06 210  1.0  2.6    MM    MM    MM  MM 1019.2  11.4  13.2    MM   MM   MM    MM
2019 11 25 06 00 170  1.5  3.1    MM    MM    MM  MM 1019.3  11.4  13.2    MM   MM +0.6    MM
2019 11 25 05 54 230  0.5  1.0    MM    MM    MM  MM 1019.6  11.4  13.2    MM   MM   MM    MM
2019 11 25 05 48 220  1.5  3.1    MM    MM    MM  MM 1019.7  11.4  13.2    MM   MM   MM    MM
2019 11 25 05 42 280  1.5  3.1    MM    MM    MM  MM 1019.6  11.4  13.2    MM   MM   MM    MM
2019 11 25 05 36 220  2.6  4.1    MM    MM    MM  MM 1019.1  11.4  13.3    MM   MM   MM    MM
2019 11 25 05 30 230  2.1  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2019 11 25 05 24 210  1.5  2.1    MM    MM    MM  MM 1018.7  11.3  13.3    MM   MM   MM    MM
2019 11 25 05 18 220  0.5  2.1    MM    MM    MM  MM 1018.7  11.3  13.3    MM   MM   MM    MM
2019 11 25 05 12 200  1.0  2.1    MM    MM    MM  MM 1018.8  11.2  13.3    MM   MM   MM    MM
2019 11 25 05 06 190  1.5  2.1    MM    MM    MM  MM 1019.0  11.4  13.3    MM   MM   MM    MM
2019 11 25 05 00 120  0.5  1.5    MM    MM    MM  MM 1019.3  11.4  13.3    MM   MM -0.0    MM
2019 11 25 04 54 250  0.5  2.1    MM    MM    MM  MM 1019.2  11.5  13.3    MM   MM   MM    MM
2019 11 25 04 48 230  0.5  1.5    MM    MM    MM  MM 1019.3  11.5  13.3    MM   MM   MM    MM
2019 11 25 04 42 110  0.5  2.1    MM    MM    MM  MM 1019.2  11.5  13.3    MM   MM   MM    MM
2019 11 25 04 36 140  0.5  2.6    MM    MM    MM  MM 1019.2  11.5  13.3    MM   MM   MM    MM
2019 11 25 04 30 150  2.1  2.6    MM    MM    MM  MM 1019.2  11.5  13.4    MM   MM   MM    MM
2019 11 25 04 24 180  0.5  4.1    MM    MM    MM  MM 1019.1  11.6  13.4    MM   MM   MM    MM
2019 11 25 04 18 190  2.1  4.6    MM    MM    MM  MM 1019.1  11.6  13.3    MM   MM   MM    MM
2019 11 25 04 12 220  3.1  5.1    MM    MM    MM  MM 1019.0  11.6  13.4    MM   MM   MM    MM
2019 11 25 04 06 250  3.1  4.6    MM    MM    MM  MM 1019.1  11.7  13.4    MM   MM   MM    MM
2019 11 25 04 00 250  1.5  4.1    MM    MM    MM  MM 1019.1  11.7  13.4    MM   MM +0.3    MM
2019 11 25 03 54 140  0.5  2.1    MM    MM    MM  MM 1019.0  11.8  13.4    MM   MM   MM    MM
2019 11 25 03 48 270  1.0  3.6    MM    MM    MM  MM 1019.1  11.8  13.4    MM   MM   MM    MM
2019 11 25 03 42 240  2.6  5.1    MM    MM    MM  MM 1019.1  11.8  13.4    MM   MM   MM    MM
2019 11 25 03 36 250  3.1  4.1    MM    MM    MM  MM 1019.1  11.8  13.4    MM   MM   MM    MM
2019 11 25 03 30 230  2.1  6.2    MM    MM    MM  MM 1019.0  11.8  13.4    MM   MM   MM    MM
2019 11 25 03 24 240  3.6  6.7    MM    MM    MM  MM 1018.9  11.9  13.4    MM   MM   MM    MM
2019 11 25 03 18 240  3.1  4.6    MM    MM    MM  MM 1019.0  11.8  13.4    MM   MM   MM    MM
2019 11 25 03 12 210  2.1  4.6    MM    MM    MM  MM 1019.0  11.8  13.4    MM   MM   MM    MM
2019 11 25 03 06 230  2.6  4.1    MM    MM    MM  MM 1018.8  11.8  13.4    MM   MM   MM    MM
2019 11 25 03 00 230  2.6  6.2    MM    MM    MM  MM 1018.7  11.9  13.4    MM   MM -0.5    MM
2019 11 25 02 54 230  3.1  6.2    MM    MM    MM  MM 1018.8  12.0  13.4    MM   MM   MM    MM
2019 11 25 02 48 240  5.7  8.2    MM    MM    MM  MM 1018.8  12.1  13.4    MM   MM   MM    MM
2019 11 25 02 42 240  4.6  7.2    MM    MM    MM  MM 1018.9  12.2  13.4    MM   MM   MM    MM
2019 11 25 02 36 240  4.6  6.7    MM    MM    MM  MM 1018.9  12.2  13.4    MM   MM   MM    MM
2019 11 25 02 30 240  3.6  6.7    MM    MM    MM  MM 1019.0  12.3  13.4    MM   MM   MM    MM
2019 11 25 02 24 240  4.6  6.7    MM    MM    MM  MM 1019.1  12.4  13.4    MM   MM   MM    MM
2019 11 25 02 18 240  3.1  4.6    MM    MM    MM  MM 1019.2  12.4  13.4    MM   MM   MM    MM
2019 11 25 02 12 220  3.1  4.6    MM    MM    MM  MM 1019.2  12.4  13.4    MM   MM   MM    MM
2019 11 25 02 06 230  3.1  6.2    MM    MM    MM  MM 1019.1  12.5  13.4    MM   MM   MM    MM
2019 11 25 02 00 240  5.1  7.2    MM    MM    MM  MM 1019.1  12.6  13.4    MM   MM -0.7    MM
2019 11 25 01 54 250  5.1  7.2    MM    MM    MM  MM 1019.2  12.6  13.4    MM   MM   MM    MM
2019 11 25 01 48 250  4.1  7.2    MM    MM    MM  MM 1019.1  12.7  13.4    MM   MM   MM    MM
2019 11 25 01 42 250  4.6  6.2    MM    MM    MM  MM 1019.1  12.7  13.4    MM   MM   MM    MM
2019 11 25 01 36 250  5.7  7.2    MM    MM    MM  MM 1019.0  12.7  13.3    MM   MM   MM    MM
2019 11 25 01 30 250  5.1  6.7    MM    MM    MM  MM 1019.1  12.6  13.3    MM   MM   MM    MM
2019 11 25 01 24 250  5.1  6.7    MM    MM    MM  MM 1019.0  12.5  13.3    MM   MM   MM    MM
2019 11 25 01 18 250  5.1  7.7    MM    MM    MM  MM 1019.0  12.5  13.3    MM   MM   MM    MM
2019 11 25 01 12 250  5.7  8.2    MM    MM    MM  MM 1018.9    MM    MM    MM   MM   MM    MM
2019 11 25 01 06 250  5.1  7.7    MM    MM    MM  MM 1018.8  12.5  13.4    MM   MM   MM    MM
2019 11 25 01 00 250  5.7  7.2    MM    MM    MM  MM 1018.8  12.5  13.4    MM   MM -1.6    MM
2019 11 25 00 54 260  5.1  6.7    MM    MM    MM  MM 1018.9  12.7  13.4    MM   MM   MM    MM
2019 11 25 00 48 270  5.7  8.2    MM    MM    MM  MM 1019.1  13.0  13.4    MM   MM   MM    MM
2019 11 25 00 42 270  5.7  8.8    MM    MM    MM  MM 1019.2  13.2  13.4    MM   MM   MM    MM
2019 11 25 00 36 260  5.7  7.7    MM    MM    MM  MM 1019.1  13.4  13.4    MM   MM   MM    MM
2019 11 25 00 30 270  5.7  8.2    MM    MM    MM  MM 1019.0  13.6  13.4    MM   MM   MM    MM
2019 11 25 00 24 240  5.1  5.7    MM    MM    MM  MM 1019.0  14.0  13.4    MM   MM   MM    MM
2019 11 25 00 18 250  3.1  5.1    MM    MM    MM  MM 1019.1  14.2  13.4    MM   MM   MM    MM
2019 11 25 00 12 230  2.6  3.6    MM    MM    MM  MM 1019.2  14.5  13.6    MM   MM   MM    MM
2019 11 25 00 00 250  2.1  3.6    MM    MM    MM  MM 1019.2  15.0  13.5    MM   MM -1.9    MM
2019 11 24 23 54 250  1.0  3.1    MM    MM    MM  MM 1019.2  14.9  13.5    MM   MM   MM    MM
2019 11 24 23 48 250  2.6  3.6    MM    MM    MM  MM 1019.1  14.7  13.5    MM   MM   MM    MM
